taxa_clean,taxonID,taxonRank,acceptedNameUsageID,taxonomicStatus,update_date,kingdom,phylum,class,order,family,genus,specificEpithet,infraspecificEpithet,vernacularName
Leucophyllum frutescens,ITIS:33629,species,ITIS:33629,accepted,2011-09-22,Plantae,NA,Magnoliopsida,Lamiales,Scrophulariaceae,Leucophyllum,frutescens,,Texas barometer bush
Carissa grandiflora,ITIS:30166,species,ITIS:501290,synonym,2012-05-31,Plantae,NA,Magnoliopsida,Gentianales,Apocynaceae,Carissa,macrocarpa,,amatungulu
Myrtus communis,ITIS:506164,species,ITIS:506164,accepted,2011-10-27,Plantae,NA,Magnoliopsida,Myrtales,Myrtaceae,Myrtus,communis,,myrtle
Convolvulus cneorum,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Caesalpinia pulcherrima,ITIS:26511,species,ITIS:26511,accepted,2011-06-29,Plantae,NA,Magnoliopsida,Fabales,Fabaceae,Caesalpinia,pulcherrima,,pride of Barbados
Lantana,ITIS:32173,genus,ITIS:32173,accepted,2011-09-22,NA,NA,NA,NA,NA,NA,,,NA
Nerium oleander,ITIS:30184,species,ITIS:30184,accepted,2012-05-31,Plantae,NA,Magnoliopsida,Gentianales,Apocynaceae,Nerium,oleander,,oleander
Opuntia,ITIS:19686,genus,ITIS:19686,accepted,2013-06-12,NA,NA,NA,NA,NA,NA,,,pricklypear
Baccharis sarothroides,ITIS:35699,species,ITIS:35699,accepted,2010-10-05,Plantae,NA,Magnoliopsida,Asterales,Asteraceae,Baccharis,sarothroides,,desertbroom
Bougainvillea,ITIS:19682,genus,ITIS:19682,accepted,2012-06-27,NA,NA,NA,NA,NA,NA,,,NA
Sarcostemma cynanchoides,ITIS:30405,species,ITIS:513718,synonym,2012-05-31,Plantae,NA,Magnoliopsida,Gentianales,Apocynaceae,Funastrum,cynanchoides,,fringed twinevine
Aloe,ITIS:42772,genus,ITIS:42772,accepted,2016-07-28,NA,NA,NA,NA,NA,NA,,,aloes
Agave,ITIS:182659,genus,ITIS:182659,accepted,2011-02-24,NA,NA,NA,NA,NA,NA,,,agave
Rosmarinus officinalis,ITIS:32677,species,ITIS:32677,accepted,2011-09-22,Plantae,NA,Magnoliopsida,Lamiales,Lamiaceae,Rosmarinus,officinalis,,rosemary
Ricinus communis,ITIS:28393,species,ITIS:28393,accepted,2017-04-25,Plantae,NA,Magnoliopsida,Malpighiales,Euphorbiaceae,Ricinus,communis,,castorbean
Lantana montevidensis,ITIS:32181,species,ITIS:32181,accepted,2011-09-22,Plantae,NA,Magnoliopsida,Lamiales,Verbenaceae,Lantana,montevidensis,,trailing shrubverbena
Cylindropuntia,ITIS:906970,genus,ITIS:906970,accepted,2013-06-12,NA,NA,NA,NA,NA,NA,,,NA
Rosa,ITIS:24807,genus,ITIS:24807,accepted,2011-12-08,NA,NA,NA,NA,NA,NA,,,wildrose
Buxus microphylla,ITIS:506450,species,ITIS:506450,accepted,2012-05-31,Plantae,NA,Magnoliopsida,Buxales,Buxaceae,Buxus,microphylla,,littleleaf boxwood
Lantana camara,ITIS:32175,species,ITIS:32175,accepted,2011-09-22,Plantae,NA,Magnoliopsida,Lamiales,Verbenaceae,Lantana,camara,,largeleaf lantana
